Date,Comment_thread_id,comment_position,Tag,comments
7/1/2015 9:37,5593b4c5b30d84a7e5000c5a,1,P, look forward
7/1/2015 11:06,5593b4c5b30d84a7e5000c5a,2,P, likewis
7/1/2015 11:23,5593b4c5b30d84a7e5000c5a,3,P, good luck
7/1/2015 11:51,5593b4c5b30d84a7e5000c5a,4,P, regard
7/1/2015 12:21,5593b4c5b30d84a7e5000c5a,5,BQ, video current
7/1/2015 12:34,5593b4c5b30d84a7e5000c5a,6,B, yet
7/1/2015 19:16,5593b4c5b30d84a7e5000c5a,7,P, look forward great experi
7/1/2015 12:47,5593e104a9a36e5e21000d6b,1,S, tell u someth you- name countri want learn class
7/1/2015 13:03,5593e104a9a36e5e21000d6b,2,S, hi vysakh venugop india
7/1/2015 19:08,5593e104a9a36e5e21000d6b,3,S, hi name keyle 'm u az 'm lifelong learner look forward learn technology/data influenc educ system
7/1/2015 19:15,5593e104a9a36e5e21000d6b,4,S, hi name justu harri uganda
7/1/2015 19:17,5593e104a9a36e5e21000d6b,5,S, hi everybodi aidar russia
7/1/2015 19:17,5593e104a9a36e5e21000d6b,6,S, name carolyn live portland
7/1/2015 19:18,5593e104a9a36e5e21000d6b,7,S, hey 'm benji u current work san francisco go school meng boston 'm research assist ra mit app inventor want learn good leverag data understand student learn code particular **let know anyon bay area would like meet week chat cours **
7/1/2015 19:19,5593e104a9a36e5e21000d6b,8,S, hi 'm archana washington dc interest learn interpret mine data influenc effect polici educ
7/1/2015 19:19,5593e104a9a36e5e21000d6b,9,S, hey everyon saif ullah pakistan
7/1/2015 19:26,5593e104a9a36e5e21000d6b,10,S, hey 'm cori u nyc current studi mathemat educ 'm interest see peopl besid teach educ
7/1/2015 19:33,5593e104a9a36e5e21000d6b,11,S, hi everyon 'm iyari figueroa guadalajara citi mexico 'm look forward learn much possibl educ strategi analyst import relev data educ nowaday complet access inform mani way mani sourc challeng abl control take advantag vast volum data decid enlist course.nic meet
7/1/2015 19:37,5593e104a9a36e5e21000d6b,12,S, hi lizzi elementari school teacher nyc spend past 2 year teach 1st kindergarten charter school use gener lot differ data school alway hard time put togeth gener actual knowledg interest see learn cours use profession life look forward
7/1/2015 19:45,5593e104a9a36e5e21000d6b,13,S, hi 'm teach longwood univers virginia usa research background ai much experi kind data model 'm hop learn techniqu use small data set small school mean small n and/or get inspir acquir larg data set play
7/1/2015 20:07,5593e104a9a36e5e21000d6b,14,S, hi 'm tatiana canal 'm chilean -so first languag spanish- 'm charg curriculum plan evalu privat univers chile 8000 student app know could help other take good decis learn cours
7/1/2015 20:22,5593e104a9a36e5e21000d6b,15,S, hi cassandra luxembourg work qualiti offic within univers want learn leverag data decision-mak promot enhanc polici teach qualiti
7/1/2015 20:27,5593e104a9a36e5e21000d6b,16,S, hi name jorg peñaloza 'm colombia
7/1/2015 21:12,5593e104a9a36e5e21000d6b,17,S, hi 'm leann north carolina usa
7/1/2015 21:40,5593e104a9a36e5e21000d6b,18,S, hy name lane randal live florianópoli brazil hop learn work larg data set educ interest use data improv though question predict analyt
7/1/2015 21:42,5593e104a9a36e5e21000d6b,19,S, hi 'm emili boston current work data-driven educ non-profit -- interest see relat current work look forward new perspect
7/2/2015 0:12,5593e104a9a36e5e21000d6b,20,S, hello 'm alex columbu ohio current studi music educ indiana univers explor topic senior thesi 'm hop cours give idea incorpor big data project potenti make major focu
7/2/2015 2:25,5593e104a9a36e5e21000d6b,21,S, name mike 'm pittsburgh pa usa 'm hop refin big data skill approach data analysi structur way
7/2/2015 6:42,5593e104a9a36e5e21000d6b,22,S, hello california work instruct design larg train system take class via coursera need space repetit make stick look forward get littl deeper time includ read
7/2/2015 8:50,5593e104a9a36e5e21000d6b,23,P, welcom everyon 'm glad class
7/2/2015 9:27,5593e104a9a36e5e21000d6b,24,S, hello everyon fangfang china come order know get job well teacher english present big data era
7/2/2015 11:56,5593e104a9a36e5e21000d6b,25,S, hi sen malaysia
7/2/2015 19:15,5593e104a9a36e5e21000d6b,26,S, hello everyon ant croatia group facebook link http //www.facebook.com/groups/412359268951647/
7/2/2015 20:21,5593e104a9a36e5e21000d6b,27,S, hello name roman 'm germany.i join cours 'm interest machin learning/predict model
7/2/2015 21:30,5593e104a9a36e5e21000d6b,28,S, hello everyon name emili 'm canada interest learner model would like learn machin learn well
7/2/2015 22:02,5593e104a9a36e5e21000d6b,29,S, hello name yimmi alexand moreno bogota colombia expect learn big data strengthen skill front issu ...
7/2/2015 22:02,5593e104a9a36e5e21000d6b,30,S, hola llamo alex tambien soy de colombia ...
7/2/2015 22:28,5593e104a9a36e5e21000d6b,31,S, hi name´ cristhian i´m colombia expect know new metogolog work databas relat educ theme
7/2/2015 23:16,5593e104a9a36e5e21000d6b,32,S, hi everyon name maria teach large-format onlin gener educ cours public univers u hop learn mine data inform choic pedagog practic order improv student learn outcom
7/4/2015 13:29,5593e104a9a36e5e21000d6b,33,S, hi everyon name quan vietnam go maastricht univers netherland excit learn big data educ first onlin cours experi
